Word,Frequency
ing,510251
kang,291619
ingkang,253248
wong,134747
lan,128840
sang,126355
punika,120227
sampun,103499
yèn,87043
wontên,85283
para,83258
wus,83149
tan,82314
sami,81088
wau,80479
dhatêng,78871
botên,77253
iku,76762
lajêng,72509
saking,71950
ana,69698
kula,67472
dipun,66932
marang,65963
ora,64322
padha,62752
sira,57211
prabu,55705
inggih,53627
tiyang,47657
sarta,47340
nanging,47174
mring,44574
ta,43844
ki,42291
radèn,41548
dene,40573
sing,40448
dados,38524
badhe,37830
dadi,36205
iya,36174
dèn,35509
ingsun,34738
dalêm,34546
pan,34279
tuwin,34225
malih,33960
sadaya,33614
pangeran,33179
apa,32606
aku,32041
dening,30825
manawi,30662
sagêd,30638
nata,30523
kawula,30304
makatên,29683
sri,29331
iki,29320
mau,28995
lawan,28949
bab,28829
kados,28451
wis,28224
gusti,27999
utawi,27320
kangjêng,26995
allah,26946
kalih,26789
samya,26465
kalihan,26225
awit,25539
saka,25497
kaya,24857
ngsa,24609
ratu,24557
ya,24437
mung,24116
tuwan,23963
kathah,23662
putra,23490
banjur,23419
bisa,23382
ngka,22539
bakal,22327
kabèh,21993
punapa,21971
aja,21954
namung,21878
mas,21822
saha,21531
taun,21504
jawi,21009
nora,20643
nèng,20396
sarêng,20259
ugi,20041
kaping,19826
lah,19473
matur,19162
datan,18819
sêrat,18748
wadya,18687
si,18548
langkung,18518
sun,18469
karo,18453
arya,18302
ngandika,18294
tanpa,18282
hyang,18275
agêng,18150
patih,18100
anèng,18071
pun,17969
nagari,17897
lamun,17861
kowe,17857
paduka,17769
ngga,17763
raja,17725
lir,17560
ngantos,17406
sangêt,17395
prapta,17321
nama,16713
mila,16581
rama,16550
nulya,16424
miwah,16409
myang,15875
kuwi,15870
kemawon,15832
sigra,15714
bae,15421
piyambak,15189
tanah,15184
mawi,14961
bilih,14959
dèwi,14915
utawa,14904
kêna,14878
kenging,14660
jêng,14541
agung,14445
tur,14442
gus,14419
dèrèng,14390
kala,14279
arsa,14046
ngriku,14027
pra,14014
duk,13877
putri,13860
dumugi,13709
kangge,13663
dipati,13569
malah,13251
kowé,13202
tansah,13168
kêdah,13082
bupati,13023
nalika,12995
tumênggung,12939
de,12541
dangu,12500
taksih,12483
mantri,12448
tumrap,12429
mangkono,12407
barang,12385
dadya,12360
karsa,12321
kyai,12125
a,11932
suka,11729
warni,11726
anak,11673
aji,11631
dintên,11554
sabên,11548
dhuh,11541
nuli,11453
sapa,11439
kalawan,11413
narendra,11327
dènnya,11268
dina,11249
pêjah,11150
nabi,11142
amung,11091
praja,11066
uga,11026
pada,10929
adipati,10905
maring,10814
mami,10777
bumi,10765
sampeyan,10756
yayi,10756
anggènipun,10737
prajurit,10708
dhewe,10645
ananging,10636
gya,10548
bêcik,10528
èstri,10517
sanès,10496
tyas,10443
kinèn,10415
prang,10349
saya,10345
kudu,10291
marga,10250
abdi,10223
dyan,10023
pisan,10017
akèh,10001
jalaran,9977
kadya,9943
hèh,9890
nganti,9826
manah,9783
têka,9736
